path,extension,size_bytes,lines,last_modified,encoding,component
"libjpeg-turbo-1.5.0/simd/jcsample.h","h","747","28","2026-01-10","us-ascii","libjpeg-turbo/simd"
"libjpeg-turbo-1.5.0/jccoefct.c","c","17243","449","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jfdctint.c","c","11465","286","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcsample.c","c","20271","539","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/wrgif.c","c","13283","402","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/java/org_libjpegturbo_turbojpeg_TJCompressor.h","h","3521","101","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/java/org_libjpegturbo_turbojpeg_TJ.h","h","4731","129","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/java/org_libjpegturbo_turbojpeg_TJDecompressor.h","h","3479","101","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/java/org_libjpegturbo_turbojpeg_TJTransformer.h","h","838","29","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcmainct.c","c","5155","162","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdmainct.h","h","2434","71","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jchuff.c","c","34392","1091","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jmemnobs.c","c","2735","109","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcarith.c","c","29565","928","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/wrjpgcom.c","c","17922","592","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/wrbmp.c","c","15666","493","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcstest.c","c","3861","126","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcprepct.c","c","13176","357","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdhuff.h","h","9429","234","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jmemsys.h","h","7802","178","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/rdrle.c","c","11751","389","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdmrg565.c","c","11476","356","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/example.c","c","17210","433","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jccolor.c","c","23958","719","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jerror.c","c","7924","251","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jquant1.c","c","32470","857","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcdctmgr.c","c","22492","721","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/wrppm.c","c","7781","252","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jsimd.h","h","3725","93","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/rdswitch.c","c","13011","424","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jutils.c","c","3798","133","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/turbojpeg.h","h","64764","1542","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jpegtran.c","c","18778","551","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jstdhuff.c","c","5373","135","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcapistd.c","c","5916","162","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jmorecfg.h","h","15049","421","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/tjunittest.c","c","19046","735","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jfdctfst.c","c","7740","227","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/cdjpeg.h","h","5149","145","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/turbojpeg-jni.c","c","42602","1166","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jaricom.c","c","5146","156","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdcolext.c","c","4510","143","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdarith.c","c","24935","766","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdmaster.c","c","27459","724","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdct.h","h","8991","208","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jversion.h","h","1806","49","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/cjpeg.c","c","21837","644","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/cderror.h","h","5435","136","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jinclude.h","h","2950","84","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcomapi.c","c","3242","109","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/bmp.c","c","9880","334","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcphuff.c","c","25902","834","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/transupp.h","h","9611","207","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/djpeg.c","c","26408","781","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/wrtarga.c","c","7423","247","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jpeg_nbits_table.h","h","270393","4098","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdatadst.c","c","9760","293","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jmemmgr.c","c","44504","1171","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcmarker.c","c","17571","665","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jquant2.c","c","48836","1282","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/tjutil.h","h","1948","47","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jidctint.c","c","105151","2627","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdmrgext.c","c","6037","186","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdapimin.c","c","13227","407","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jctrans.c","c","14936","402","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jidctflt.c","c","8672","240","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/rdbmp.c","c","15417","483","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jcinit.c","c","2447","77","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jchuff.h","h","1467","43","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdmainct.c","c","19310","456","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdcoefct.c","c","25277","693","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdsample.c","c","16574","470","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/rdjpgcom.c","c","15063","510","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/rdgif.c","c","1305","39","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdcol565.c","c","12261","384","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jidctred.c","c","14273","403","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jpegint.h","h","15592","368","2026-01-10","us-ascii","libjpeg-turbo"
"libjpeg-turbo-1.5.0/jdpostct.c","c","10339","290","2026-01-10","us-ascii","libjpeg-turbo"
